project,target,configuration,hash,code,status,start,end
nativescript-pedometer,build,,928503927783197796,1,failure,1723610857574,1723610859515
nativescript-pedometer,build,,15119755007977016359,1,failure,1723610978449,1723610980419
nativescript-pedometer,build,,12961415406029869672,0,success,1723615873332,1723615875208
nativescript-pedometer,build.all,,8289304729864368939,0,success,1723615875209,1723615875456
demo,android,,12853839539153339640,1,failure,1723615875457,1723616453487
nativescript-pedometer,build,,15717118097109025406,0,success,1723618008769,1723618010699
nativescript-pedometer,build.all,,9137983932277646123,0,success,1723618010700,1723618011041
demo,android,,9796170561237791111,1,failure,1723618011041,1723675384497
nativescript-pedometer,build,,9285823687244908067,1,failure,1723682950447,1723682952300
nativescript-pedometer,build,,9285823687244908067,1,failure,1723682961758,1723682963508
nativescript-pedometer,build,,5334568563736349365,1,failure,1723693349457,1723693351348
